staging_id,raw_id,direccion,query,lat,lon,precision
81700,82190,LOS OLMOS 725,"LOS OLMOS 725, General Alvear, Mendoza, Argentina",-34.98833,-67.676459,street
81705,82195,LINIERS 139,"LINIERS 139, General Alvear, Mendoza, Argentina",-34.979543,-67.684483,exact
81706,82196,ITALIA 62,"ITALIA 62, General Alvear, Mendoza, Argentina",-34.980204,-67.688515,exact
81712,82202,ITALIA 62,"ITALIA 62, General Alvear, Mendoza, Argentina",-34.980204,-67.688515,exact
81719,82209,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina",-34.979244,-67.688721,exact
81720,82210,PETERSEN 1116,"PETERSEN 1116, General Alvear, Mendoza, Argentina",-34.970656,-67.702463,street
81721,82211,LAPRIDA 160,"LAPRIDA 160, General Alvear, Mendoza, Argentina",-34.979903,-67.686747,exact
81724,82214,DE MAYO 543,"DE MAYO 543, General Alvear, Mendoza, Argentina",-34.97497,-67.682538,exact
81726,82216,LOS OLMOS 725,"LOS OLMOS 725, General Alvear, Mendoza, Argentina",-34.98833,-67.676459,street
81727,82217,MITRE 776,"MITRE 776, General Alvear, Mendoza, Argentina",-34.974804,-67.699198,exact
81728,82218,MITRE 776,"MITRE 776, General Alvear, Mendoza, Argentina",-34.974804,-67.699198,exact
81733,82223,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina",-34.979244,-67.688721,exact
81734,82224,LUIS PONCE 866,"LUIS PONCE 866, General Alvear, Mendoza, Argentina",-34.971205,-67.700359,exact
81735,82225,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina",-34.979437,-67.68956,exact
81736,82226,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina",-34.979437,-67.68956,exact
81737,82227,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina",-34.979437,-67.68956,exact
81739,82229,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina",-34.979244,-67.688721,exact
81740,82230,AGUSTIN ALVAREZ 345,"AGUSTIN ALVAREZ 345, General Alvear, Mendoza, Argentina",-34.974137,-67.699548,exact
81742,82232,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina",-34.974137,-67.699548,exact
81743,82233,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina",-34.974137,-67.699548,exact
81745,82235,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina",-34.974137,-67.699548,exact
81746,82236,MANUEL A SAEZ 316,"MANUEL A SAEZ 316, General Alvear, Mendoza, Argentina",-34.99766,-67.650692,street
81747,82237,BELGRANO 114,"BELGRANO 114, General Alvear, Mendoza, Argentina",-34.976796,-67.690818,exact
81749,82239,AV. ALVEAR OESTE 750,"AV ALVEAR OESTE 750, General Alvear, Mendoza, Argentina",-34.978124,-67.698941,exact
81752,82242,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina",-34.97793,-67.699414,exact
81753,82243,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina",-34.97793,-67.699414,exact
81754,82244,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina",-34.97793,-67.699414,exact
81755,82245,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina",-34.97793,-67.699414,exact
