staging_id,raw_id,direccion,query
81700,82190,LOS OLMOS 725,"LOS OLMOS 725, General Alvear, Mendoza, Argentina"
81705,82195,LINIERS 139,"LINIERS 139, General Alvear, Mendoza, Argentina"
81706,82196,ITALIA 62,"ITALIA 62, General Alvear, Mendoza, Argentina"
81712,82202,ITALIA 62,"ITALIA 62, General Alvear, Mendoza, Argentina"
81719,82209,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina"
81720,82210,PETERSEN 1116,"PETERSEN 1116, General Alvear, Mendoza, Argentina"
81721,82211,LAPRIDA 160,"LAPRIDA 160, General Alvear, Mendoza, Argentina"
81724,82214,DE MAYO 543,"DE MAYO 543, General Alvear, Mendoza, Argentina"
81725,82215,BARTOLOME MITRE 776,"BARTOLOME MITRE 776, General Alvear, Mendoza, Argentina"
81726,82216,LOS OLMOS 725,"LOS OLMOS 725, General Alvear, Mendoza, Argentina"
81727,82217,MITRE 776,"MITRE 776, General Alvear, Mendoza, Argentina"
81728,82218,MITRE 776,"MITRE 776, General Alvear, Mendoza, Argentina"
81732,82222,WASHINGTON OJEDA 946,"WASHINGTON OJEDA 946, General Alvear, Mendoza, Argentina"
81733,82223,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina"
81734,82224,LUIS PONCE 866,"LUIS PONCE 866, General Alvear, Mendoza, Argentina"
81735,82225,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina"
81736,82226,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina"
81737,82227,AV. LIBERTADOR SUR 119,"AV LIBERTADOR SUR 119, General Alvear, Mendoza, Argentina"
81738,82228,B° SAN FRANCISCO 1030,"B° SAN FRANCISCO 1030, General Alvear, Mendoza, Argentina"
81739,82229,GODOY CRUZ 37,"GODOY CRUZ 37, General Alvear, Mendoza, Argentina"
81740,82230,AGUSTIN ALVAREZ 345,"AGUSTIN ALVAREZ 345, General Alvear, Mendoza, Argentina"
81742,82232,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina"
81743,82233,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina"
81745,82235,Agustin Alvarez 345,"Agustin Alvarez 345, General Alvear, Mendoza, Argentina"
81746,82236,MANUEL A SAEZ 316,"MANUEL A SAEZ 316, General Alvear, Mendoza, Argentina"
81747,82237,BELGRANO 114,"BELGRANO 114, General Alvear, Mendoza, Argentina"
81748,82238,ALEM NORTE 970,"ALEM NORTE 970, General Alvear, Mendoza, Argentina"
81749,82239,AV. ALVEAR OESTE 750,"AV ALVEAR OESTE 750, General Alvear, Mendoza, Argentina"
81752,82242,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina"
81753,82243,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina"
81754,82244,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina"
81755,82245,AV. ALVEAR OESTE 795,"AV ALVEAR OESTE 795, General Alvear, Mendoza, Argentina"
81756,82246,CHAPERROUGE 1057,"CHAPERROUGE 1057, General Alvear, Mendoza, Argentina"
