staging_id,raw_id,inmobiliaria_id,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,titulo,url_normalizada,warnings
81645,82135,6335,100,1,done,95000,USD,-37.302082,-59.170547,Casas en Venta - ALONSO Y AZUCENA,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-alonso-y-azucena-45384-175.html,
81646,82136,6335,100,1,done,100000,USD,-37.321529,-59.154443,Casas en Venta - ARENALES AL 200,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-arenales-al-200-45394-175.html,
81647,82137,6335,100,1,done,180000,USD,-37.323423,-59.135002,Casas en Venta - ALEM AL 700,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-alem-al-700-45382-175.html,
81648,82138,6335,100,1,done,385000,USD,-37.323955,-59.094086,Casas en Venta - LOS AROMOS AL 400,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-los-aromos-al-400-48519-175.html,
81649,82139,6335,100,1,done,390000,USD,-37.327945,-59.116892,Casas en Venta - AVDA. AVELLANEDA AL 1600,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-avda.-avellaneda-al-1600-45386-175.html,
81650,82140,6335,100,1,done,180000,USD,-37.324134,-59.087927,Departamentos en Venta - Reforma Universitaria al 1800,svestudioinmobiliario.com.ar/departamentos-en-venta-en-tandil-reforma-universitaria-al-1800-46041-175.html,
81651,82141,6335,100,1,done,45000,USD,-37.346678,-59.189677,Lotes en Venta - BENTEVEO Y MONTECRISTO,svestudioinmobiliario.com.ar/lotes-en-venta-en-tandil-benteveo-y-montecristo-45478-175.html,
81652,82142,6335,100,1,done,90000,USD,-37.325021,-59.111938,Departamentos en Venta - FALUCHO AL 700,svestudioinmobiliario.com.ar/departamentos-en-venta-en-tandil-falucho-al-700-48364-175.html,
81653,82143,6335,100,1,done,25000,USD,-37.297175,-59.091486,Lotes en Venta - LOTEO JUVENTUD UNIDA- PALACIOS Y LA BLANCA,svestudioinmobiliario.com.ar/lotes-en-venta-en-tandil-loteo-juventud-unida--palacios-y-la-blanca-45477-175.html,
81654,82144,6335,100,1,done,34000,USD,-37.326256,-59.13482,Locales en Venta - GALERIA LOS PUENTES- 9 DE JULIO ENTRE PJE FOURNIER,svestudioinmobiliario.com.ar/locales-en-venta-en-tandil-galeria-los-puentes--9-de-julio-entre-pje-fournier-45473-175.html,
81700,82190,3531,75,2,done,280000,ARS,-34.9883296,-67.6764594,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=96&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81705,82195,3531,75,2,done,350000,ARS,-34.9795432,-67.6844835,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=91&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
