staging_id,raw_id,inmobiliaria_id,inmobiliaria,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,ciudad,provincia,titulo,url_normalizada
81645,82135,6335,SV Inmobiliaria,100,1,done,95000,USD,-37.302082,-59.170547,Tandil,Buenos Aires,Casas en Venta - ALONSO Y AZUCENA,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-alonso-y-azucena-45384-175.html
81646,82136,6335,SV Inmobiliaria,100,1,done,100000,USD,-37.321529,-59.154443,Tandil,Buenos Aires,Casas en Venta - ARENALES AL 200,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-arenales-al-200-45394-175.html
81647,82137,6335,SV Inmobiliaria,100,1,done,180000,USD,-37.323423,-59.135002,Tandil,Buenos Aires,Casas en Venta - ALEM AL 700,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-alem-al-700-45382-175.html
81648,82138,6335,SV Inmobiliaria,100,1,done,385000,USD,-37.323955,-59.094086,Tandil,Buenos Aires,Casas en Venta - LOS AROMOS AL 400,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-los-aromos-al-400-48519-175.html
81649,82139,6335,SV Inmobiliaria,100,1,done,390000,USD,-37.327945,-59.116892,Tandil,Buenos Aires,Casas en Venta - AVDA. AVELLANEDA AL 1600,svestudioinmobiliario.com.ar/casas-en-venta-en-tandil-avda.-avellaneda-al-1600-45386-175.html
81650,82140,6335,SV Inmobiliaria,100,1,done,180000,USD,-37.324134,-59.087927,Tandil,Buenos Aires,Departamentos en Venta - Reforma Universitaria al 1800,svestudioinmobiliario.com.ar/departamentos-en-venta-en-tandil-reforma-universitaria-al-1800-46041-175.html
81651,82141,6335,SV Inmobiliaria,100,1,done,45000,USD,-37.346678,-59.189677,Tandil,Buenos Aires,Lotes en Venta - BENTEVEO Y MONTECRISTO,svestudioinmobiliario.com.ar/lotes-en-venta-en-tandil-benteveo-y-montecristo-45478-175.html
81652,82142,6335,SV Inmobiliaria,100,1,done,90000,USD,-37.325021,-59.111938,Tandil,Buenos Aires,Departamentos en Venta - FALUCHO AL 700,svestudioinmobiliario.com.ar/departamentos-en-venta-en-tandil-falucho-al-700-48364-175.html
81653,82143,6335,SV Inmobiliaria,100,1,done,25000,USD,-37.297175,-59.091486,Tandil,Buenos Aires,Lotes en Venta - LOTEO JUVENTUD UNIDA- PALACIOS Y LA BLANCA,svestudioinmobiliario.com.ar/lotes-en-venta-en-tandil-loteo-juventud-unida--palacios-y-la-blanca-45477-175.html
81654,82144,6335,SV Inmobiliaria,100,1,done,34000,USD,-37.326256,-59.13482,Tandil,Buenos Aires,Locales en Venta - GALERIA LOS PUENTES- 9 DE JULIO ENTRE PJE FOURNIER,svestudioinmobiliario.com.ar/locales-en-venta-en-tandil-galeria-los-puentes--9-de-julio-entre-pje-fournier-45473-175.html
81781,82271,3532,Mendocasa Lavalle,85,2,done,610000,USD,-32.9109708,-68.8483395,Mendoza,Mendoza,Venta Deposito en calle Maipu 235 – Ciudad Mendoza,inmobiliariamendocasa.com.ar/listings/1587
81782,82272,3532,Mendocasa Lavalle,85,2,done,60000,USD,-32.9109717,-68.8484415,Mendoza,Mendoza,Venta Terreno calle Maipu – Ciudad Mendoza,inmobiliariamendocasa.com.ar/listings/venta-terreno-calle-maipu-ciudad-mendoza
81814,82304,4418,Juan I. Pagliaro Propiedades,95,1,done,68000,USD,-37.307809,-59.125776,Tandil,Buenos Aires,Casas en Venta - Av. Balbín y Machado - Se vende con RENTA,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-av.-balbín-y-machado---se-vende-con-renta-44315-161.html
81815,82305,4418,Juan I. Pagliaro Propiedades,95,1,done,85000,USD,-37.328161,-59.141464,Tandil,Buenos Aires,Casas en Venta - San Martín al 200,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-san-martín-al-200-50591-161.html
